legacy_id,uuid,name,equipment_type
205,c72e8ff3-5073-43ef-beaf-e0518a9b522e,"Cable Pullover",cable
206,e0bef929-2653-43b9-bc7b-7339eb14bafe,"Cable Rope Crunch",cable
207,029ee677-a67d-472c-ac18-59a9b84bb82b,"Cable Rope Facepull (Kneeling)",cable
208,6ccb17ca-c7e5-41df-9c27-8d3e3c10d4b4,"Dumbbell Bent Over Shrug",dumbbell
209,d54c87a2-0a13-49aa-86a8-3bc72972159a,"Dumbbell Leaning Shrug",dumbbell
210,382a9f85-e88f-4a02-9f36-1db279210dd2,"Cable Single Arm Rear Delt Raise",cable
211,6005c58c-7cd9-4918-a136-89c2c68647b5,"Dumbbell Press (High Incline)",dumbbell
212,19cdf9df-3cd6-4564-8178-0128ad6e498d,"Cable Wrist Curl",cable
213,c1349b9f-c3ed-441e-bcc6-a927471e5b24,"Cambered Bar Row",barbell
214,17b8f3c3-05bb-49d0-b7db-628f2365d163,"Concentration Curl",dumbbell
215,b616d1b2-9811-44e1-8403-8aa53e6e3ed3,"Dumbbell Shrug",dumbbell
216,5c415d83-6015-4e7d-9b16-e21f5b1ff240,"Deadlift (Deficit 25's)",barbell
217,c9664cb4-0388-44c9-af59-5697054f12c8,"Deadlift (Flexion)",barbell
218,5ff9551a-50d9-40ca-ade9-4dd9e65fc8ce,"Deadlift (Sumo Stance)",barbell
219,a323d085-aa0e-435a-afaf-9c56b7dbcded,"Deadlift (Sumo Stance, Deficit)",barbell
220,b8a20dae-c59d-4c4e-ae1b-1ce71bebc49d,"Decline Dumbbell Curl",dumbbell
221,523e5ec8-ce95-4ed0-abeb-6c347cb7e39d,"Dip (Chest-Focused)",bodyweight only
222,249105fc-6c59-4792-918c-d46ecbf2b468,"Dip (Weighted, Chest-Focused)",bodyweight loadable
223,e459ff3b-9931-4603-a2cd-cdb16c6a184c,"Dip Machine",machine
224,d47d5996-8f14-4aa8-a5c0-03017d296913,"Donkey Calf Raise",machine
225,7a9e2fe8-4355-42d7-a63b-5d8f86875a06,"Dual Cable Pullover",cable
226,40777788-0302-478e-b613-8bd1659b12ba,"Dumbbbell Flexion Row",dumbbell
227,e13d35c1-2775-4386-9201-b96c576a72cd,"Dumbbell Bench Wrist Curl",dumbbell
228,c5cdcaf5-2500-4f89-940a-ca78aafcb30b,"Hack Squat",smith machine
229,f20a0344-777d-4eb7-a398-87ece6b62c71,"Dumbbell Facepull",dumbbell
230,0ce5ab76-ddf4-4461-a47c-a5f73f2073b3,"Dumbbell Facepull (Incline)",dumbbell
231,3d2044cb-a67b-4c10-899b-572467d81c07,"Dumbbell Front Squat",dumbbell
232,3a7ecbbe-024f-4faf-99bd-38f7688f2539,"Dumbbell Hip Thrust (Single Leg)",dumbbell
233,dd071daf-3d17-4b82-bc83-f3cb1c77adc0,"Dumbbell Lateral Raise (Seated)",dumbbell
234,61c084d0-df83-4b52-bdb1-07f244a3574b,"Dumbbell Lateral Raise (Thumbs Down)",dumbbell
235,dad2d2a5-d55e-4d73-b222-8c167509c812,"Dumbbell Lateral Raise (Top Hold)",dumbbell
236,f7c3cbea-4b37-45c0-8486-9806f631d624,"Hack Squat",machine
237,5b3fb2f8-f221-423c-94fa-131ac0fc8037,"Machine Hip Thrust",machine
238,9eb7c448-6303-46e7-a46e-3755fadf9624,"Dumbbell Preacher Curl (Single-Arm)",dumbbell
239,57c1af8b-e599-494f-842d-2cd39babef7a,"Dumbbell Press Flye (Flat)",dumbbell
240,41d0e09a-a329-4650-afea-93627fee0a4f,"Dumbbell Pullover",dumbbell
241,0feccec6-6b73-41b6-b9e4-deb699bf25a5,"Dumbbell Shoulder Press (Standing)",dumbbell
242,c6731824-9910-4593-9cba-eaaf8f86c20b,"Smith Machine Split Squat",smith machine
243,7f8dd1c4-932c-468b-83c1-0db32a9b106f,"Dumbbell Spider Curl",dumbbell
244,60681c74-6648-4e24-ae8e-c5842086a604,"Dumbbell Standing Wrist Curl",dumbbell
245,6caa2d60-a968-4d6d-b3fb-df3d2dc8415b,"Dumbbell Twist Curl",dumbbell
246,df8385b2-6b9d-437c-beac-ab4098a9bec7,"EZ Bar Curl (Normal Grip)",barbell
247,963dcde4-9493-4d86-91f4-ec67fe86e987,"EZ Bar Curl (Wide Grip)",barbell
248,82ca0842-1301-409d-91bb-7003fed73c6b,"EZ Bar Row (Underhand)",barbell
249,38023594-cf53-4074-8597-4ceca74e61f2,"EZ Bar Skullcrusher",barbell
250,e7f91f15-9fe2-498f-8e6b-1d079e3a4aca,"EZ Bar Spider Curl",barbell
251,de080b43-0da3-4ce7-8333-8f2b5e34a6cd,"Freemotion Curl (Facing Away)",freemotion
252,3da3a468-9da1-43d9-a4ad-67983920a60c,"Freemotion Curl (Facing Machine)",freemotion
253,0ead788e-ccef-4df3-821f-2f9f4c7f5de6,"Freemotion Curl (Single-Arm)",freemotion
254,9598fd55-8f07-4d14-ad85-06076d34df60,"Freemotion Rear Delt Flyes",freemotion
255,f15b79d8-75e4-4398-9cdc-11719687700b,"Freemotion Rear Delt Flyes (Paused)",freemotion
256,fa4e9310-5aec-4c3c-999f-5e4560b6d16e,"Freemotion Y-Raises",freemotion
