ID,Exercise Name,Primary Muscle Group,Secondary Muscle Group,Exercise Type,x tracked
77,EZ Bar Overhead Triceps Extension,Triceps,,barbell,5
116,MaxPump Seated Multi High Row (Single Arm),Back,,machine,4
124,Pulldown (Wide Grip),Back,,cable,4
125,"Pullup (Weighted, Normal Grip)",Back,,bodyweight loadable,4
129,Scapular Retraction - MegaMass Row,Back,,machine,4
106,Machine Preacher Curl (MaxPump),Biceps,,machine,4
117,Pendulum Calves,Calves,,machine,4
24,Cable Flye (High),Chest,,cable,4
17,Belt Squat (Wide Stance),Glutes,,machine,4
132,Single Leg Extension,Quads,,machine,4
46,Dumbbell Bent Lateral Raise,Shoulders,,dumbbell,4
55,Dumbbell Lateral Raise (Super ROM),Shoulders,,dumbbell,4
93,Machine Bent Over Lateral Raise (MaxPump),Shoulders,,machine,4
103,Machine Low Row,Back,,machine,3
115,MaxPump Incline Press,Chest,,machine,3
89,Leg Press (Watson Split Leg Press),Quads,,machine,3
144,Standing Shoulder Press (Machine),Shoulders,,machine,3
34,Cable Tricep Kickback,Triceps,,cable,3
37,Cable Triceps Pushdown (Single-Arm),Triceps,,cable,3
95,Machine Chest Press (Incline),Chest,,machine,2
5,Back Raise (45 degree),Hamstrings,,bodyweight only,2
145,StIff Leg Deadlift,Hamstrings,,dumbbell,2
33,Cable Rotator Cuff Rotation (Internal),Shoulders,,cable,2
78,EZ Bar Overhead Triceps Extension (Seated),Triceps,,barbell,2
26,Cable Hammer Curl (Rope),Biceps,,cable,1
114,MaxPump Hip Press (Single Leg),Glutes,,machine,1
148,"Walking Lunges (Glute-Focused, Barbell)",Glutes,,barbell,1
74,Dumbbell Y-Raise,Shoulders,,dumbbell,1
8,Barbell Overhead Triceps Extension (Seated),Triceps,,barbell,1
45,"Dip (Weighted, Triceps-Focused)",Triceps,,bodyweight loadable,1
56,Dumbbell Overhead Extension,Triceps,,dumbbell,1
151,Ab Wheel,Abs,,bodyweight only,0
206,Cable Rope Crunch,Abs,,cable,0
265,Hanging Knee Raise,Abs,,bodyweight only,0
266,Hanging Straight Leg Raise,Abs,,bodyweight only,0
277,Modified Candlestick,Abs,,bodyweight only,0
295,Reaching Sit-Up,Abs,,bodyweight only,0
327,V-Up (Weighted),Abs,,bodyweight loadable,0
152,Assisted Pullup (Underhand Grip),Back,,machine assistance,0
153,Assisted Pullup (Wide Grip),Back,,machine assistance,0
154,Back Extension,Back,,bodyweight loadable,0
155,Back Extension (Flexion),Back,,bodyweight loadable,0
157,Barbell Bent Over Row,Back,,barbell,0
162,Barbell Flexion Row,Back,,barbell,0
171,Barbell Pullover,Back,,barbell,0
172,Barbell Row to Chest,Back,,barbell,0
199,Cable Flexion Row,Back,,cable,0
205,Cable Pullover,Back,,cable,0
213,Cambered Bar Row,Back,,barbell,0
217,Deadlift (Flexion),Back,,barbell,0
225,Dual Cable Pullover,Back,,cable,0
226,Dumbbbell Flexion Row,Back,,dumbbell,0
240,Dumbbell Pullover,Back,,dumbbell,0
248,EZ Bar Row (Underhand),Back,,barbell,0
269,Inverted Row,Back,,bodyweight only,0
272,Landmine Row,Back,,barbell,0
276,Meadows Row,Back,,barbell,0
280,Pulldown (Narrow Grip),Back,,cable,0
281,Pulldown (Single-Arm),Back,,cable,0
282,Pulldown (Underhand Grip),Back,,cable,0
283,Pulldown (Upright Torso to Abs),Back,,cable,0
284,Pullup (Normal Grip),Back,,bodyweight only,0
285,Pullup (Parallel Grip),Back,,bodyweight only,0
286,Pullup (Underhand Grip),Back,,bodyweight only,0
287,"Pullup (Weighted, Parallel Grip)",Back,,bodyweight loadable,0
288,"Pullup (Weighted, Underhand Grip)",Back,,bodyweight loadable,0
289,"Pullup (Weighted, Wide Grip)",Back,,bodyweight loadable,0
290,Pullup (Wide Grip),Back,,bodyweight only,0
302,Seal Row,Back,,barbell,0
303,Seated Cable Row (Single-Arm),Back,,cable,0
320,Smith Machine Row,Back,,smith machine,0
325,T-Bar Row,Back,,machine,0
159,Barbell Curl (Narrow Grip),Biceps,,barbell,0
160,Barbell Curl (Normal Grip),Biceps,,barbell,0
180,Bayesian Curl,Biceps,,cable,0
196,Cable Curl (EZ Bar),Biceps,,cable,0
197,"Cable Curl (EZ Bar, Wide Grip)",Biceps,,cable,0
198,Cable Curl (Single-Arm),Biceps,,cable,0
214,Concentration Curl,Biceps,,dumbbell,0
220,Decline Dumbbell Curl,Biceps,,dumbbell,0
238,Dumbbell Preacher Curl (Single-Arm),Biceps,,dumbbell,0
